Association_ID	Microbe	Disease	Score	Pmid	Type	Position	Tendency	mtype	dtype
MBP00000001	Enterobacteriaceae	Ankylosing spondylitis	-0.256934967	27390077	Bacteria	Other	Decrease	microbe	disease
MBP00000002	Bifidobacterium longum	Non-alcoholic fatty liver disease	-0.436398804	29379536	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000003	Clostridiaceae bacterium sk061	Type i diabetes mellitus	-0.674959431	22043294	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000004	Bacteroides	Cirrhosis of liver	0.0	26099252	Bacteria	Oral cavity	Increase	microbe	disease
MBP00000005	Lymphocytic choriomeningitis virus	Viral encephalitis	2.222716471	29955859	Virus	Central nervous system	Increase	microbe	disease
MBP00000006	Mobiluncus mulieris	Atrophic vaginitis	1.199403865	NCIT C86519	Bacteria	Other	Increase	microbe	disease
MBP00000007	Microbacterium	Hepatitis, alcoholic	0.524444434	29083504	Bacteria	Bloodstream	Increase	microbe	disease
MBP00000008	Serratia	Hiv infection	0.449186935	23843452	Bacteria	Other	Increase	microbe	disease
MBP00000009	Mycobacterium spp-rapid growers	Infection	2.699837726	29955859	Bacteria	Skin and soft tissue	Increase	microbe	disease
MBP00000010	Alicyclobacillus	Crohn's disease	0.555679118	26574491	Bacteria	Other	Increase	microbe	disease
MBP00000011	Roseburia intestinalis	Atherosclerosis	-0.41461126	29018189	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000012	Enterobacteriaceae	Celiac disease	0.256934967	24657864	Bacteria	Oral cavity	Increase	microbe	disease
MBP00000013	Curvibacter	Chronic obstructive pulmonary disease	0.674959431	23874580	Bacteria	Respiratory tract	Increase	microbe	disease
MBP00000014	Dorea	Pancreatic carcinoma	-0.309359932	29221120	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000015	Veillonellaceae	Hashimoto's thyroiditis	-0.373929436	28903182	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000016	Rikenellaceae	Aggressive periodontitis	-0.380936617	28260061	Bacteria	Other	Decrease	microbe	disease
MBP00000017	Akkermansia	Aggressive periodontitis	-0.367347201	28260061	Bacteria	Other	Decrease	microbe	disease
MBP00000018	Halomonas	Cutaneous burn	0.599701933	28333758	Bacteria	Urinary tract	Increase	microbe	disease
MBP00000019	Streptococcus intermedius	Crohn's disease	0.424959431	23060013	Bacteria	Oral cavity	Increase	microbe	disease
MBP00000020	Butiricimonas	Hepatitis c infection	-0.674959431	27625705	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000021	Bifidobacteriaceae	Ulcerative colitis	0.555679118	25596182	Bacteria	Other	Increase	microbe	disease
MBP00000022	Human herpesvirus 8	Kaposi's sarcoma	1.349918863	NCIT C14327	Virus	Other	Increase	microbe	disease
MBP00000023	Porphyromonas	Colorectal cancer	1.715302838	21850056	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000024	Moraxellaceae	Parkinson's disease	0.524444434	29501802	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000025	Haemophilus influenzae	Epiglottitis	1.39880773	29955859	Bacteria	Skin and soft tissue	Increase	microbe	disease
